Species,BodyWt,BrainWt,NonDreaming,Dreaming,TotalSleep,Gestation,Predation,Exposure,Danger,LifeSpan
Africanelephant,6654,5712,NA,NA,3.3,645,3,5,3,38.6
Africangiantpouchedrat,1,6.6,6.3,2,8.3,42,3,1,3,4.5
ArcticFox,3.385,44.5,NA,NA,12.5,60,1,1,1,14
Arcticgroundsquirrel,0.92,5.7,NA,NA,16.5,25,5,2,3,NA
Asianelephant,2547,4603,2.1,1.8,3.9,624,3,5,4,69
Baboon,10.55,179.5,9.1,0.7,9.8,180,4,4,4,27
Bigbrownbat,0.023,0.3,15.8,3.9,19.7,35,1,1,1,19
Braziliantapir,160,169,5.2,1,6.2,392,4,5,4,30.4
Cat,3.3,25.6,10.9,3.6,14.5,63,1,2,1,28
Chimpanzee,52.16,440,8.3,1.4,9.7,230,1,1,1,50
Chinchilla,0.425,6.4,11,1.5,12.5,112,5,4,4,7
Cow,465,423,3.2,0.7,3.9,281,5,5,5,30
Deserthedgehog,0.55,2.4,7.6,2.7,10.3,NA,2,1,2,NA
Donkey,187.1,419,NA,NA,3.1,365,5,5,5,40
EasternAmericanmole,0.075,1.2,6.3,2.1,8.4,42,1,1,1,3.5
Echidna,3,25,8.6,0,8.6,28,2,2,2,50
Europeanhedgehog,0.785,3.5,6.6,4.1,10.7,42,2,2,2,6
Galago,0.2,5,9.5,1.2,10.7,120,2,2,2,10.4
Genet,1.41,17.5,4.8,1.3,6.1,NA,1,2,1,34
Giantarmadillo,60,81,12,6.1,18.1,NA,1,1,1,7
Giraffe,529,680,NA,0.3,NA,400,5,5,5,28
Goat,27.66,115,3.3,0.5,3.8,148,5,5,5,20
Goldenhamster,0.12,1,11,3.4,14.4,16,3,1,2,3.9
Gorilla,207,406,NA,NA,12,252,1,4,1,39.3
Grayseal,85,325,4.7,1.5,6.2,310,1,3,1,41
Graywolf,36.33,119.5,NA,NA,13,63,1,1,1,16.2
Groundsquirrel,0.101,4,10.4,3.4,13.8,28,5,1,3,9
Guineapig,1.04,5.5,7.4,0.8,8.2,68,5,3,4,7.6
Horse,521,655,2.1,0.8,2.9,336,5,5,5,46
Jaguar,100,157,NA,NA,10.8,100,1,1,1,22.4
Kangaroo,35,56,NA,NA,NA,33,3,5,4,16.3
Lessershort-tailedshrew,0.005,0.14,7.7,1.4,9.1,21.5,5,2,4,2.6
Littlebrownbat,0.01,0.25,17.9,2,19.9,50,1,1,1,24
Man,62,1320,6.1,1.9,8,267,1,1,1,100
Molerat,0.122,3,8.2,2.4,10.6,30,2,1,1,NA
Mountainbeaver,1.35,8.1,8.4,2.8,11.2,45,3,1,3,NA
Mouse,0.023,0.4,11.9,1.3,13.2,19,4,1,3,3.2
Muskshrew,0.048,0.33,10.8,2,12.8,30,4,1,3,2
NAmericanopossum,1.7,6.3,13.8,5.6,19.4,12,2,1,1,5
Nine-bandedarmadillo,3.5,10.8,14.3,3.1,17.4,120,2,1,1,6.5
Okapi,250,490,NA,1,NA,440,5,5,5,23.6
Owlmonkey,0.48,15.5,15.2,1.8,17,140,2,2,2,12
Patasmonkey,10,115,10,0.9,10.9,170,4,4,4,20.2
Phanlanger,1.62,11.4,11.9,1.8,13.7,17,2,1,2,13
Pig,192,180,6.5,1.9,8.4,115,4,4,4,27
Rabbit,2.5,12.1,7.5,0.9,8.4,31,5,5,5,18
Raccoon,4.288,39.2,NA,NA,12.5,63,2,2,2,13.7
Rat,0.28,1.9,10.6,2.6,13.2,21,3,1,3,4.7
Redfox,4.235,50.4,7.4,2.4,9.8,52,1,1,1,9.8
Rhesusmonkey,6.8,179,8.4,1.2,9.6,164,2,3,2,29
Rockhyrax(Heterob),0.75,12.3,5.7,0.9,6.6,225,2,2,2,7
Rockhyrax(Procaviahab),3.6,21,4.9,0.5,5.4,225,3,2,3,6
Roedeer,14.83,98.2,NA,NA,2.6,150,5,5,5,17
Sheep,55.5,175,3.2,0.6,3.8,151,5,5,5,20
Slowloris,1.4,12.5,NA,NA,11,90,2,2,2,12.7
Starnosedmole,0.06,1,8.1,2.2,10.3,NA,3,1,2,3.5
Tenrec,0.9,2.6,11,2.3,13.3,60,2,1,2,4.5
Treehyrax,2,12.3,4.9,0.5,5.4,200,3,1,3,7.5
Treeshrew,0.104,2.5,13.2,2.6,15.8,46,3,2,2,2.3
Vervet,4.19,58,9.7,0.6,10.3,210,4,3,4,24
Wateropossum,3.5,3.9,12.8,6.6,19.4,14,2,1,1,3
Yellow-belliedmarmot,4.05,17,NA,NA,NA,38,3,1,1,13
